| table_name                | column_name               | data_type                | is_nullable | column_default                   |
| permissoes_papel          | papel                     | USER-DEFINED             | NO          | null                             |
| permissoes_papel          | operacao                  | text                     | NO          | null                             |
| permissoes_papel          | permitido                 | boolean                  | NO          | true                             |
| permissoes_papel          | condicoes_extras          | jsonb                    | YES         | null                             |
| permissoes_papel          | criado_em                 | timestamp with time zone | YES         | now()                            |
| permissoes_papel          | atualizado_em             | timestamp with time zone | YES         | now()                            |
| permissoes_papel          | criado_por                | uuid                     | YES         | null                             |
| permissoes_papel          | atualizado_por            | uuid                     | YES         | null                             |
| plataformas               | id                        | uuid                     | NO          | gen_random_uuid()                |
| plataformas               | empresa_id                | uuid                     | NO          | null                             |
| plataformas               | nome                      | character varying        | NO          | null                             |
| promocoes                 | id                        | uuid                     | NO          | gen_random_uuid()                |
| promocoes                 | empresa_id                | uuid                     | NO          | null                             |
| promocoes                 | veiculo_loja_id           | uuid                     | YES         | null                             |
| promocoes                 | anuncio_id                | uuid                     | YES         | null                             |
| promocoes                 | tipo_promocao             | character varying        | NO          | null                             |
| promocoes                 | preco_promocional         | numeric                  | NO          | null                             |
| promocoes                 | data_inicio               | timestamp with time zone | NO          | null                             |
| promocoes                 | data_fim                  | timestamp with time zone | YES         | null                             |
| promocoes                 | autor_id                  | uuid                     | NO          | null                             |
| promocoes                 | ativo                     | boolean                  | YES         | true                             |
| promocoes                 | criado_em                 | timestamp with time zone | YES         | now()                            |
| promocoes                 | atualizado_em             | timestamp with time zone | YES         | now()                            |
| repetidos                 | id                        | uuid                     | NO          | gen_random_uuid()                |
| repetidos                 | empresa_id                | uuid                     | NO          | null                             |
| repetidos                 | modelo_id                 | uuid                     | NO          | null                             |
| repetidos                 | ano_fabricacao_padrao     | integer                  | NO          | null                             |
| repetidos                 | ano_modelo_padrao         | integer                  | NO          | null                             |
| repetidos                 | cor_padrao                | character varying        | NO          | null                             |
| repetidos                 | min_hodometro             | integer                  | NO          | null                             |
| repetidos                 | max_hodometro             | integer                  | NO          | null                             |
| repetidos                 | registrado_em             | timestamp with time zone | YES         | now()                            |
| repetidos                 | registrado_por            | uuid                     | YES         | null                             |
| repetidos                 | alterado_em               | timestamp with time zone | YES         | now()                            |
| repetidos                 | alterado_por              | uuid                     | YES         | null                             |
| tem_fotos                 | empresa_id                | uuid                     | NO          | null                             |
| tem_fotos                 | veiculo_id                | uuid                     | NO          | null                             |
| tem_fotos                 | loja_id                   | uuid                     | NO          | null                             |
| tem_fotos                 | qtd_fotos                 | smallint                 | NO          | 0                                |
| tem_fotos                 | ultima_atualizacao        | timestamp with time zone | NO          | now()                            |
| veiculos                  | id                        | uuid                     | NO          | gen_random_uuid()                |
| veiculos                  | empresa_id                | uuid                     | NO          | null                             |
| veiculos                  | modelo_id                 | uuid                     | YES         | null                             |
| veiculos                  | local_id                  | uuid                     | YES         | null                             |
| veiculos                  | placa                     | character varying        | NO          | null                             |
| veiculos                  | cor                       | character varying        | NO          | null                             |
| veiculos                  | hodometro                 | integer                  | NO          | null                             |
| veiculos                  | ano_fabricacao            | integer                  | YES         | null                             |
| veiculos                  | ano_modelo                | integer                  | YES         | null                             |
| veiculos                  | chassi                    | character varying        | YES         | null                             |
| veiculos                  | estado_veiculo            | USER-DEFINED             | YES         | null                             |
| veiculos                  | estado_venda              | USER-DEFINED             | NO          | null                             |
| veiculos                  | preco_venal               | numeric                  | YES         | null                             |
| veiculos                  | estagio_documentacao      | character varying        | YES         | null                             |
| veiculos                  | observacao                | text                     | YES         | null                             |
| veiculos                  | registrado_em             | timestamp with time zone | NO          | now()                            |
| veiculos                  | registrado_por            | uuid                     | NO          | auth.uid()                       |
| veiculos                  | editado_em                | timestamp with time zone | NO          | now()                            |
| veiculos                  | editado_por               | uuid                     | NO          | auth.uid()                       |
| veiculos_loja             | id                        | uuid                     | NO          | gen_random_uuid()                |
| veiculos_loja             | empresa_id                | uuid                     | NO          | null                             |
| veiculos_loja             | veiculo_id                | uuid                     | NO          | null                             |
| veiculos_loja             | loja_id                   | uuid                     | NO          | null                             |
| veiculos_loja             | preco                     | numeric                  | YES         | null                             |
| veiculos_loja             | data_entrada              | timestamp with time zone | NO          | now()                            |
| veiculos_repetidos        | id                        | uuid                     | NO          | gen_random_uuid()                |
| veiculos_repetidos        | repetido_id               | uuid                     | NO          | null                             |
| veiculos_repetidos        | veiculo_id                | uuid                     | NO          | null                             |
| veiculos_repetidos        | empresa_id                | uuid                     | NO          | null                             |
| veiculos_repetidos        | similaridade_score        | numeric                  | YES         | null                             |
| veiculos_repetidos        | criado_em                 | timestamp with time zone | YES         | now()                            |
| vendas                    | id                        | uuid                     | NO          | gen_random_uuid()                |
| vendas                    | empresa_id                | uuid                     | NO          | null                             |
| vendas                    | loja_id                   | uuid                     | NO          | null                             |
| vendas                    | veiculo_id                | uuid                     | NO          | null                             |
| vendas                    | cliente_nome              | character varying        | NO          | null                             |
| vendas                    | cliente_cpf_cnpj          | character varying        | NO          | null                             |
| vendas                    | cliente_telefone          | character varying        | YES         | null                             |
| vendas                    | cliente_email             | character varying        | YES         | null                             |
| vendas                    | cliente_endereco          | text                     | YES         | null                             |
| vendas                    | vendedor_id               | uuid                     | NO          | null                             |
| vendas                    | preco_venda               | numeric                  | NO          | null                             |
| vendas                    | preco_entrada             | numeric                  | YES         | 0                                |
| vendas                    | valor_financiado          | numeric                  | YES         | 0                                |
| vendas                    | forma_pagamento           | USER-DEFINED             | NO          | null                             |
| vendas                    | instituicao_financeira    | character varying        | YES         | null                             |
| vendas                    | numero_parcelas           | integer                  | YES         | null                             |
| vendas                    | valor_parcela             | numeric                  | YES         | null                             |
| vendas                    | tem_seguro                | boolean                  | YES         | false                            |
| vendas                    | seguradora                | character varying        | YES         | null                             |
| vendas                    | valor_seguro              | numeric                  | YES         | null                             |
| vendas                    | data_venda                | timestamp with time zone | NO          | now()                            |
| vendas                    | data_entrega              | timestamp with time zone | YES         | null                             |
| vendas                    | data_previsao_entrega     | timestamp with time zone | YES         | null                             |
| vendas                    | status_venda              | USER-DEFINED             | NO          | 'negociacao'::status_venda       |
| vendas                    | observacoes               | text                     | YES         | null                             |
| vendas                    | comissao_vendedor         | numeric                  | YES         | null                             |
| vendas                    | comissao_loja             | numeric                  | YES         | null                             |
| vendas                    | criado_em                 | timestamp with time zone | YES         | now()                            |
| vendas                    | atualizado_em             | timestamp with time zone | YES         | now()                            |
| vendas                    | criado_por                | uuid                     | NO          | null                             |
| vendas                    | atualizado_por            | uuid                     | YES         | null                             |
